,Sampling_start_date,State,County,detection_status_SARSCoV2,sars.cov.2_cocentration_copy_per_ml*,pmmov_concentration**,new_cases***,cumulative_cases***,county_population,wwtp_flow_MGD****,wwtp_flow_mL,Estimated_population_served,Sampling_location_ID
77,4/20/20,CA,Alameda,quantifiable,35.69313811,1187943.463,27,1191,1671329,35,1.32E+11,465000,b9ecf21963b61aa79caad79b7c697a82904141f4
78,4/14/20,CA,Alameda,quantifiable,23.25296168,1705388.272,0,884,1671329,34,1.29E+11,465000,b9ecf21963b61aa79caad79b7c697a82904141f4
79,4/14/20,CA,Alameda,not detected,NA,2431418.809,0,884,1671329,10,37854120000,130000,0bb3af94733168fc1542e207dac690ead5d0ebba
80,4/27/20,CA,Alameda,not detected,NA,192828.7438,30,1498,1671329,6,22712472000,90000,e2a29c283b566d8c787d84858b2d5572f28fd6f5
81,4/27/20,CA,Alameda,quantifiable,14.67068553,562693.9841,30,1498,1671329,35,1.32E+11,465000,b9ecf21963b61aa79caad79b7c697a82904141f4
82,4/29/20,PA,Indiana,not detected,NA,1012775.699,1,63,84073,5.9,22333930800,28809,296dd1b1d58f5f9a68b2fb49dde2c04e570718a7
83,4/8/20,PA,Indiana,not detected,NA,309435.4181,0,21,84073,5.94,22485347280,28809,296dd1b1d58f5f9a68b2fb49dde2c04e570718a7
84,4/8/20,PA,Indiana,quantifiable,17.6190793,25486225.52,0,21,84073,5.94,22485347280,28809,296dd1b1d58f5f9a68b2fb49dde2c04e570718a7
85,4/22/20,PA,Indiana,not detected,NA,1917212.589,1,56,84073,4.3,16277271600,28809,296dd1b1d58f5f9a68b2fb49dde2c04e570718a7
86,4/15/20,PA,Indiana,quantifiable,29.68163348,2742851.354,0,43,84073,5.32,20138391840,28809,296dd1b1d58f5f9a68b2fb49dde2c04e570718a7
87,4/11/20,PA,Montgomery,not detected,NA,1396639.344,164,2053,830915,3.959,14986446108,45000,13defb36ad9e4a2fb0595616b8e0b8fe3d75c5a9
88,4/19/20,PA,Montgomery,quantifiable,25.67434678,1647662.555,132,2913,830915,4.814,18222973368,45000,13defb36ad9e4a2fb0595616b8e0b8fe3d75c5a9
89,4/26/20,PA,Montgomery,not detected,NA,983.0379229,106,3733,830915,10.728,40609899936,45000,13defb36ad9e4a2fb0595616b8e0b8fe3d75c5a9
90,5/2/20,PA,Montgomery,not detected,NA,unmeasured,81,4487,830915,6.919,26191265628,45000,13defb36ad9e4a2fb0595616b8e0b8fe3d75c5a9
91,4/15/20,AR,Washington,not detected,NA,1723097.182,1,44,239187,0.4,1514164800,1600,4059086bd84b677a8fc9608f3b457e0df1c83016
92,4/9/20,AR,Washington,not detected,NA,16345041.28,1,37,239187,0.314,1188619368,1600,4059086bd84b677a8fc9608f3b457e0df1c83016
93,4/29/20,AR,Washington,not detected,NA,unmeasured,7,84,239187,0.215,813863580,1600,4059086bd84b677a8fc9608f3b457e0df1c83016
94,4/22/20,AR,Washington,not detected,NA,472064.9674,1,61,239187,0.245,927425940,1600,4059086bd84b677a8fc9608f3b457e0df1c83016
95,4/7/20,NY,Westchester,quantifiable,58.37876665,3115557.508,510,14804,967506,12.9,48831814800,90884,fcfacdde36e3d15b8c00ecff21c82c5c88249f58
96,4/14/20,PA,Montgomery,not detected,NA,5750886.178,69,2354,830915,1.1,4163953200,13000,45bfd6f6da9bf9e2eaf87a9fa17ae9991f1728d6
97,4/20/20,PA,Montgomery,quantifiable,68.35223076,1440601.2,127,3040,830915,1.19,4504640280,13000,45bfd6f6da9bf9e2eaf87a9fa17ae9991f1728d6
98,5/12/20,PA,Montgomery,quantifiable,16.57917752,10150613.04,150,5442,830915,1.185,4485713220,13000,45bfd6f6da9bf9e2eaf87a9fa17ae9991f1728d6
99,5/5/20,PA,Montgomery,quantifiable,167.8111121,1308186.828,42,4687,830915,1.185,4485713220,13000,45bfd6f6da9bf9e2eaf87a9fa17ae9991f1728d6
100,5/19/20,PA,Montgomery,quantifiable,13.0940138,unmeasured,51,6063,830915,1.097,4152596964,13000,45bfd6f6da9bf9e2eaf87a9fa17ae9991f1728d6
101,5/12/20,CO,Boulder,quantifiable,16.61113694,509216.8571,11,788,326196,2.29,8668593480,22000,d46a5428cd6eebfbee715ccbda5168ce472a9f65
102,4/14/20,CO,Boulder,quantifiable,19.50272226,3739359.948,9,293,326196,1.915,7249063980,22000,d46a5428cd6eebfbee715ccbda5168ce472a9f65
103,4/28/20,CO,Boulder,quantifiable,36.07734712,unmeasured,28,543,326196,1.91,7230136920,22000,d46a5428cd6eebfbee715ccbda5168ce472a9f65
104,4/21/20,CO,Boulder,quantifiable,43.94358174,2578002.131,30,390,326196,2.5,9463530000,22000,d46a5428cd6eebfbee715ccbda5168ce472a9f65
105,4/8/20,TX,Tarrant,quantifiable,64.76201181,23064073.94,71,588,2102515,125,4.73E+11,1.00E+06,c028255ed494e5a6d37a1ad401c2d27398bb3e9e
106,4/15/20,TX,Tarrant,quantifiable,30.53276671,6097590.742,114,990,2102515,130,4.92E+11,1.00E+06,c028255ed494e5a6d37a1ad401c2d27398bb3e9e
107,4/26/20,TX,Tarrant,quantifiable,311.4421598,19193747.27,130,1836,2102515,116,4.39E+11,1.00E+06,c028255ed494e5a6d37a1ad401c2d27398bb3e9e
108,5/3/20,TX,Tarrant,quantifiable,52.6415795,1597381.948,115,2503,2102515,122.2,4.63E+11,1.00E+06,c028255ed494e5a6d37a1ad401c2d27398bb3e9e
109,4/14/20,TX,Hays,quantifiable,42.84635179,7218347.274,0,82,230191,3.5,13248942000,63509,29b72e6ce1f039d82b3194647e7a15fe82a7af6f
110,4/21/20,TX,Hays,quantifiable,35.55760605,2448221.864,0,109,230191,3.8,14384565600,63509,29b72e6ce1f039d82b3194647e7a15fe82a7af6f
111,5/5/20,TX,Hays,not detected,NA,12141106.59,8,176,230191,3.5,13248942000,63509,29b72e6ce1f039d82b3194647e7a15fe82a7af6f
112,4/28/20,TX,Hays,quantifiable,16.21648852,unmeasured,7,155,230191,4.5,17034354000,63509,29b72e6ce1f039d82b3194647e7a15fe82a7af6f
113,4/8/20,WA,Pierce,quantifiable,20.37126263,3140808.963,115,759,904980,17.59,66585397080,213000,5fa9ded4fd12395881b68899a6160d7c5a39ebee
114,4/15/20,WA,Pierce,quantifiable,22.72468798,1808201.279,25,988,904980,16.55,62648568600,213000,5fa9ded4fd12395881b68899a6160d7c5a39ebee
115,4/22/20,WA,Pierce,quantifiable,81.51759385,2269602.348,28,1176,904980,17.64,66774667680,213000,5fa9ded4fd12395881b68899a6160d7c5a39ebee
116,4/29/20,WA,Pierce,quantifiable,26.24337476,1751046.875,13,1306,904980,16.68,63140672160,213000,5fa9ded4fd12395881b68899a6160d7c5a39ebee
117,4/15/20,WA,Pierce,not detected,NA,680024.8324,25,988,904980,3.4,12870400800,55000,5d1ac4dc5bfadf7a9c88bdba8f04de41f6e744e5
118,4/8/20,WA,Pierce,not detected,NA,1522200.191,115,759,904980,3.68,13930316160,55000,5d1ac4dc5bfadf7a9c88bdba8f04de41f6e744e5
119,4/22/20,WA,Pierce,not detected,NA,6555.272835,28,1176,904980,4.1,15520189200,55000,5d1ac4dc5bfadf7a9c88bdba8f04de41f6e744e5
120,4/29/20,WA,Pierce,not detected,NA,unmeasured,13,1306,904980,3.33,12605421960,55000,5d1ac4dc5bfadf7a9c88bdba8f04de41f6e744e5
121,4/12/20,PA,Montgomery,quantifiable,10.05019674,12351957.03,111,2164,830915,3.733,14130942996,35600,14fe9dfc5e0d80a1f799ac0e5dfe66b9e8b99202
