lon,lat,value,value_whole,shapeName,EVP,unvac,cum_per,cum_prop
18.5662499409,-33.43624966443,6128.0,77428.5,West Coast,94.30236093600001,349.0,66.31721,66.3
30.641249892599998,-27.68624968743,6127.0,54307.574,Amajuba,92.774776248,443.0,66.4248,66.4
30.8329165585,-22.70291637403,6107.0,53982.08,Vhembe,89.95585158,613.0,66.53204,66.5
29.874583229,-24.81124969893,6085.0,51466.42,Sekhukhune,89.77737371399999,622.0,66.63889,66.6
25.2745832474,-27.111249689730002,6072.0,51638.11,Dr Ruth Segomotsi Mompati,94.37904611100001,341.0,66.74552,66.7
26.999583240499994,-26.72791635793,6057.0,73467.81,Dr Kenneth Kaunda,92.072503782,480.0,66.85188,66.9
29.682916563099997,-23.66124970353,6037.0,60053.438,Capricorn,84.429308124,940.0,66.95789,67.0
29.491249897199996,-30.75291634183,6023.0,44869.758,Alfred Nzo,94.368393126,339.0,67.06366,67.1
29.491249897199996,-31.136249673630005,5997.0,45831.895,O.R.Tambo,85.58057585700001,865.0,67.16897,67.2
24.699583249699998,-27.494583021529998,5958.0,52969.867,Dr Ruth Segomotsi Mompati,94.37904611100001,335.0,67.27359,67.3
29.874583229,-30.17791634413,5948.0,46453.574,Sisonke,92.80777356899999,428.0,67.378044,67.4
30.066249894899997,-27.87791635333,5942.0,49766.977,Amajuba,92.774776248,429.0,67.48239,67.5
29.107916565399997,-26.344583026130003,5940.0,65819.23,Nkangala,86.47099272,804.0,67.58669,67.6
31.791249888,-25.76958302843,5890.0,52883.098,Ehlanzeni,87.90843492900001,712.0,67.690125,67.7
30.066249894899997,-23.85291636943,5858.0,53715.93,Mopani,89.892208224,592.0,67.79299,67.8
29.107916565399997,-31.51958300543,5823.0,47378.16,O.R.Tambo,85.58057585700001,840.0,67.89525,67.9
30.4495832267,-23.08624970583,5787.0,50913.83,Vhembe,89.95585158,581.0,67.99687,68.0
26.424583242799997,-33.24458299853,5783.0,73741.81,Cacadu,94.088183364,342.0,68.09842,68.1
30.4495832267,-28.64458301693,5782.0,41212.906,Umzinyathi,94.613038821,311.0,68.19996,68.2
26.041249910999998,-26.152916360229998,5747.0,53475.094,Ngaka Modiri Molema,92.82207438,413.0,68.30087,68.3
31.791249888,-28.452916351029998,5679.0,47441.67,Uthungulu,90.292884192,551.0,68.4006,68.4
29.682916563099997,-30.94458300773,5646.0,41716.105,Alfred Nzo,94.368393126,318.0,68.49974,68.5
30.4495832267,-29.60291634643,5620.0,62338.156,Umgungundlovu,94.460073687,311.0,68.598434,68.6
26.8079165746,-28.069583019230002,5602.0,61397.78,Lejweleputswa,96.61212678599999,190.0,68.69681,68.7
24.699583249699998,-26.91958302383,5578.0,53966.37,Dr Ruth Segomotsi Mompati,94.37904611100001,314.0,68.794754,68.8
29.299583231299998,-31.327916339530002,5577.0,43036.58,O.R.Tambo,85.58057585700001,804.0,68.89269,68.9
30.066249894899997,-22.70291637403,5566.0,49707.906,Vhembe,89.95585158,559.0,68.99043,69.0
29.682916563099997,-31.136249673630005,5548.0,42400.82,O.R.Tambo,85.58057585700001,800.0,69.08786,69.1
29.682916563099997,-30.56124967593,5510.0,41897.37,Ugu,96.068357532,217.0,69.184616,69.2
28.7245832336,-25.57791636253,5484.0,66539.9,Nkangala,86.47099272,742.0,69.280914,69.3
22.9745832566,-34.01124966213,5457.0,66280.016,Eden,93.251039427,368.0,69.37674,69.4
29.874583229,-30.94458300773,5449.0,40164.145,Alfred Nzo,94.368393126,307.0,69.472435,69.5
22.207916593,-33.43624966443,5444.0,64311.484,Eden,93.251039427,367.0,69.56802,69.6
32.1745832198,-28.261249685129997,5408.0,42277.465,Umkhanyakude,92.176661808,423.0,69.662994,69.7
29.682916563099997,-25.00291636483,5405.0,45611.004,Sekhukhune,89.77737371399999,553.0,69.75791,69.8
28.916249899500002,-31.90291633723,5380.0,50074.81,O.R.Tambo,85.58057585700001,776.0,69.85238,69.9
28.916249899500002,-30.75291634183,5371.0,45979.824,Alfred Nzo,94.368393126,302.0,69.9467,69.9
28.7245832336,-25.00291636483,5363.0,51494.117,Nkangala,86.47099272,726.0,70.04088,70.0
29.874583229,-30.36958301003,5363.0,41013.074,Sisonke,92.80777356899999,386.0,70.13505,70.1
30.066249894899997,-23.277916371729997,5354.0,47186.88,Vhembe,89.95585158,538.0,70.22907,70.2
30.2579165608,-24.04458303533,5327.0,47833.176,Mopani,89.892208224,538.0,70.32262,70.3
28.532916567699996,-31.711249671330002,5306.0,49910.15,O.R.Tambo,85.58057585700001,765.0,70.41579,70.4
